Question,Answer
Was ist der Unterschied zwischen einem digitalen Kassenbon und einer digitalen „Belegkopie“ eines Kassenbons?,"Ein digitaler Kassenbon ist ein Beleg, der dem eingeloggten Kaufland Card XTRA Nutzer in der Kaufland-App angezeigt wird. Alle digitalen Kassenbons, die ab dem 8. Juli 2024 erstellt wurden, können auch für Garantiefälle und Rückgaben verwendet werden. Wenn die Funktion „Papierbon sparen“ aktiviert ist, gibt es nur noch den digitalen Kassenbon. Wenn die Funktion zum Zeitpunkt des Einkaufs deaktiviert ist, wird der Original-Kassenbon an der Kasse ausgehändigt und in der App ist eine „Belegkopie“ zu finden."
Wo sind die digitalen Kassenbons in der Kaufland-App zu finden?,Die digitalen Kassenbons sind in der Kaufland-App unter „Services“ – „Digitale Kassenbons“ oder auf dem App-Startbildschirm unterhalb der Einkaufsfiliale zu finden. Alternativ kann auch der QR-Code von Kaufland Card XTRA in der App geöffnet und dann unten auf „Digitale Kassenbons“ geklickt werden.
"SB-Kassen: Wie öffne ich die Ausgangsschranke, wenn ich keinen Papier-Kassenbon habe?","An unseren SB-Kassen wird immer ein Bon für die Ausgangsschranke gedruckt, der zum Verlassen genutzt werden kann. Die Ausgangsschranke kann auch mit dem EAN-Code des digitalen Kassenbons auf dem Smartphone geöffnet werden."
Kann der digitale Kassenbon heruntergeladen werden?,"Ja, in der Detailansicht (oben rechts) des digitalen Kassenbons kann der Kassenbon heruntergeladen werden."
Können Waren nur mit dem digitalen Kassenbon zurückgegeben und reklamiert werden?,"Ja. Der digitale Kassenbon fungiert in diesem Fall als originaler Zahlungsbeleg mit ausgewiesener Mehrwertsteuer. Wenn Waren umgetauscht beziehungsweise zurückgeben werden möchten, funktioniert dies in einer beliebigen Kaufland-Filiale. Damit die Reklamation ordnungsgemäß bearbeitet werden kann, muss der Zahlungsbeleg der entsprechenden Ware vorgelegt werden. Der Mitarbeiter wird dann den EAN-Code aus dem digitalen Kassenbon in der Kaufland-App für die Rückgabe abrufen. In diesem Fall fungiert der digitale Kassenbon als originaler Zahlungsbeleg mit ausgewiesener Mehrwertsteuer. Wichtiger Hinweis: Zu beachten ist, dass für steuerliche oder behördliche Zwecke der Original-Zahlungsbeleg erforderlich sein kann und eine „Belegkopie“ möglicherweise nicht ausreicht."
Warum sind nicht alle Einkäufe unter den digitalen Kassenbons aufgeführt?,Wahrscheinlich wurde Kaufland Card XTRA nicht gescannt. In diesem Fall wurde der Kassenbon an der Kasse ausgedruckt.
"Können auch Kunden, die kein Mitglied bei Kaufland Card XTRA sind, den digitalen Kassenbon verwenden und den Papierbon einsparen?","Nein. Die Funktion des digitalen Kassenbons und Einsparung des Papierbons ist nur für Kaufland Card XTRA Mitglieder verfügbar, die über ein digitales Kaufland Card XTRA Konto verfügen. Hier kann die Kaufland-App heruntergeladen und die Registrierung durchgeführt werden."
Ist mit der physischen Kaufland Card XTRA Karte ein Zugriff auf die Option „Spare den Papierbon“ möglich?,"Der Verzicht auf den Kassenbon-Druck ist nur bei Einkäufen mit Kaufland Card XTRA in der Kaufland-App möglich. Wenn mit der physischen Kaufland Card XTRA Karte eingekauft wird, die mit dem digitalen Kaufland Card XTRA Konto verbunden ist, wird der Kassenbon immer ausgedruckt. Der Beleg erscheint danach zusätzlich in der Einkaufsübersicht in der Kaufland-App, wo er als „Belegkopie“ gekennzeichnet ist."
Kann trotz aktiviertem Schieberegler „Papierbon sparen“ an der Kasse ein Papierbon ausgegeben werden?,"Wenn einmalig ein Papierbon gewünscht ist, kann die Funktion „Spare den Papierbon“ aktiviert bleiben. An der Kasse kann die Kassiererin / der Kassierer auf Nachfrage den Kassenbon nachträglich ausdrucken."
Warum muss ich mich für die Einkaufslisten-Funktion registrieren?,"Deine Einkaufslisten auf filiale.kaufland.de kannst du auch über die Kaufland-App abrufen – und umgekehrt. Damit in der App dieselben Listen angezeigt werden wie auf filiale.kaufland.de , musst du registriert sein."
Gibt es eine Druckfunktion?,"Ja, klicke hierfür oben auf den Navigationspunkt „Einkaufsliste” und wähle im Menü „Liste anzeigen” aus. Unterhalb der Einkaufsliste rechts findest du das Drucksymbol."
"In meiner Einkaufsliste habe ich das Kästchen vor dem Artikel angeklickt, nun ist der Artikel verschwunden. Wie kann ich den Artikel wieder zu meiner Einkaufsliste hinzufügen?","Sobald du in deiner Einkaufsliste einen Haken in das Kästchen vor den Artikel setzt, verschiebt sich dieser links in die Spalte „Erledigte Einkäufe”. Entferne dort den Haken, um deinen Artikel wieder auf die Einkaufsliste zu setzen."
Warum sehe ich keine Preise in meiner Einkaufsliste?,"Momentan werden keine Preise auf deiner Einkaufsliste angezeigt. Wir arbeiten jedoch daran, die Funktion zu realisieren."
Kann ich meine Artikel auch manuell eintippen?,"Ja, klicke dafür oben auf den Navigationspunkt „Einkaufsliste“ und wähle den Menüpunkt „Liste anzeigen“ aus. In der linken Spalte „Artikel hinzufügen“ kannst du den Namen deines gewünschten Artikels und eine Anmerkung dazu manuell eintippen. Wenn du anschließend auf den Button „Artikel hinzufügen“ klickst, erscheint der eingegebene Artikel in deiner Einkaufsliste."
Kann ich meine Einkaufsliste auch über mein Smartphone abrufen?,"Ja, melde dich einfach mit deinen Login-Daten auf filiale.kaufland.de oder in der Kaufland-App an. Die App kannst du kostenlos für iOS oder Android herunterladen."
Kann ich mehrere Einkaufslisten anlegen?,"Ja, klicke dafür oben auf den Navigationspunkt  „Einkaufsliste” und wähle den Menüpunkt „Liste wechseln oder bearbeiten” aus."
Funktioniert der Aufruf der Prospekte auch ohne JavaScript?,"Wenn JavaScript deaktiviert ist, scheitert der Aufruf und es erscheint eine Fehlermeldung. Für die Anzeige der Prospekte ist JavaScript notwendig."
Stimmen die Werbepreise im Internet mit denen der Prospekte überein?,"Die Werbepreise in den Prospekten sind in der Regel identisch mit jenen in den Filialangeboten unserer Internetseite. Allerdings kann es vorkommen, dass wir einen Artikel nachträglich reduzieren. Gültig ist dann der aktuelle Preis im Internet. Beachten Sie jedoch, dass der Werbepreis auf die entsprechende Filiale begrenzt ist und somit in einer anderen Filiale unter Umständen ein anderer Preis gilt."
Wie kann ich meine Filiale ändern?,"Ihre aktuell zugewiesene Filiale finden Sie oben rechts neben der Einkaufsliste und Anmeldung. Um diese zu ändern, klicken Sie diese an. Dort finden Sie die Option „Filiale ändern“. Alternativ bieten wir Ihnen in unserer Filial-Auswahl die Option, Ihre Filiale zu ändern."
Wie kann ich meine Filiale dauerhaft speichern?,"Die ausgewählte Filiale wird in einem sogenannten Cookie gespeichert. Sobald Sie einmal aufgrund Ihres Standortes einer Filiale zugewiesen wurden oder aktiv eine Filiale ausgewählt haben und Ihr Internetbrowser den Cookie gespeichert hat, müssen Sie Ihre gewünschte Filiale beim nächsten Besuch nicht noch einmal auswählen. Sollten Sie bei Ihrem nächsten Besuch erneut Ihre Wunsch-Filiale auswählen müssen, prüfen Sie bitte Ihre Browsereinstellungen."
"Wo finde ich die nächste Filiale, eine Anfahrtsbeschreibung und die Öffnungszeiten?","Bitte benutzen Sie unsere Filial-Suche . Zu den einzelnen Filialen finden Sie dort auch die Öffnungszeiten, die Telefonnummern und einen Link zum Routenplaner. Jetzt Filiale auswählen"
Warum funktioniert die Filial-Auswahl per Standortermittlung bei mir nicht?,"Um Ihren Standort automatisch ermitteln zu lassen, klicken Sie bei der Filial-Auswahl auf das Symbol rechts neben dem Suchfeld (Kompass). Falls Sie eine Fehlermeldung erhalten, überprüfen Sie die Einstellungen Ihres Browsers. Stellen Sie sicher, dass Ihre Standortermittlung freigegeben ist. Sollte daraufhin noch immer keine Standortermittlung möglich sein, können Sie über die Eingabe von Postleitzahl oder Ort in das Textfeld eine Filiale finden: Jetzt Filiale auswählen"
Warum öffnen sich die Prospekte nicht?,"Falls sich die Prospekte nicht öffnen, kann das daran liegen, dass Ihr Browser Pop-up-Fenster blockt. Um die Prospekte anzuzeigen, ändern Sie bitte die Einstellungen so, dass Ihr Browser für unsere Internetseite filiale.kaufland.de die Anzeige von Pop-up-Fenstern zulässt."
Ich bekomme keine Werbung bzw. unregelmäßig oder zu spät. Was kann ich tun?,Bitte füllen Sie das entsprechende Formular unter filiale.kaufland.de/kontakt aus. Wir sind für jeden Hinweis dankbar.
"Ich bin Werbeverweigerer, möchte aber trotzdem den Kaufland-Prospekt. Ist das möglich?","Möchten Sie den Kaufland Prospekt zukünftig erhalten, ist dies nur möglich, wenn Sie das Zustellverbot auf Ihrem Briefkasten entfernen. Ab diesem Zeitpunkt kann Ihnen der Kaufland-Prospekt zugestellt werden."
Ich habe eine größere Menge Kaufland-Prospekte gefunden. Was kann ich tun?,"Sie haben Kaufland-Prospekte gefunden (z. B. im Wald, auf der Straße, im Park etc.) ? Damit wir den Prospektfund aufklären können, benötigen wir Ihre Mithilfe. Bitte schreiben Sie uns über das Kontaktformular auf filiale.kaufland.de/kontakt so genau wie möglich den Fundort."
Ich möchte keine Kaufland-Prospekte mehr bekommen. Was muss ich machen?,"Möchten Sie keine Werbung mehr erhalten, so platzieren Sie bitte deutlich sichtbar an Ihrem Briefkasten einen Hinweis mit dem Inhalt ""Bitte keine Werbung und kostenlose Zeitungen einwerfen"". Sollten Sie dennoch an den Angeboten von Kaufland interessiert sein, ist unser Prospekt auch ab Sonntag unter filiale.kaufland.de/prospekte einsehbar."
Kann ich das Kaufland-Prospekt zugeschickt bekommen?,"Leider versenden wir keine Kaufland-Prospekte, aber bereits ab Samstag sind unsere Angebote unter filiale.kaufland.de/prospekte einsehbar. Außerdem können Sie sich in jeder Kaufland-Filiale an der Kundeninformation ein kostenloses Exemplar mitnehmen. Sie können sich auch gerne für den Kaufland Newsletter anmelden oder unsere Kaufland-App herunterladen."
Wie kann ich mich für den Kaufland-Newsletter anmelden/abmelden?,Die Anmeldung zu unseren Newslettern finden Sie in unserer Rubrik Service unter dem Punkt Newsletter: Zur Newsletter-Anmeldung Eine Abmeldung von unserem Newsletter-Service ist natürlich jederzeit möglich. Klicken Sie hierfür auf den entsprechenden Link am Ende des jeweiligen Newsletters.
"Was passiert mit meinen Daten, die bei der Newsletter-Anmeldung erhoben werden?","Ihre Daten werden datenschutzkonform erhoben, verarbeitet und genutzt. Es gelten hierbei unsere Datenschutzgrundsätze ."
Wie kann ich meine Profildaten ändern?,Ihre Profildaten können Sie über den Link in jedem Newsletter ändern. Diesen Link finden Sie im unteren Bereich des Newsletters. Klicken Sie einfach auf „Ihre Profildaten können Sie hier ändern“.
Wie häufig wird der Kaufland-Newsletter versendet?,Unser Kaufland-Newsletter wird wöchentlich mittwochs versendet. Hier können Sie sich für unsere Newsletter anmelden - natürlich kostenlos und unverbindlich: Zur Anmeldung
Die Grafiken des Newsletters werden bei mir nicht angezeigt. Was kann ich dagegen tun?,"Wenn die Grafiken in Ihrer Mail nicht angezeigt werden, kann das verschiedene Ursachen haben. Um die Bilder in der HTML-Mail zu sehen, benötigen Sie einen aktiven Zugang zum Internet, denn die Bilder werden beim Öffnen der Mail von unseren Seiten geladen. Möglicherweise haben Sie auch die Anzeige von Grafiken in Ihrem E-Mail-Programm blockiert oder Sie lassen keine HTML-Mails zu. Prüfen Sie gegebenenfalls Ihre Einstellungen."
Warum erhalte ich beim Bestätigen meiner Anmeldung für den Newsletter eine Fehlermeldung?,"Wenn Sie beim Klicken des Bestätigungslinks eine Fehlermeldung erhalten, bricht der Link vielleicht in der Mail um. Kopieren Sie in diesem Fall den kompletten Link, fügen Sie ihn von Hand in die Adresszeile Ihres Browsers ein und stellen Sie sicher, dass der Link keine Leerstellen aufweist. Bestätigen Sie die Anmeldung nicht innerhalb von sieben Tagen, werden Ihre Daten automatisch aus unserem System gelöscht. Sie können sich dann wieder mit der selben E-Mail-Adresse anmelden."
Warum habe ich den letzten Newsletter nicht erhalten?,"Wird ein Newsletter nicht zugestellt, könnte es sein, dass Ihr Postfach voll oder der Newsletter im Spam-Ordner gelandet ist. Falls Sie noch nie einen Newsletter erhalten haben, haben Sie möglicherweise vergessen, den Link in der Bestätigungsmail zu klicken. Damit schließen Sie Ihre Anmeldung ab. Sollte der Link nicht funktionieren, melden Sie sich bitte erneut an . Ihre Daten wurden in diesem Fall nach sieben Tagen automatisch gelöscht. Bitte achten Sie darauf, dass Sie sich nicht mit einer E-Mail-Adresse anmelden, welche mit admin@, news@, service@, webmaster@ oder Ähnlichem beginnt. Leider kann unser System aus technischen Gründen keinen Newsletter an diese Adressen verschicken. Verwenden Sie bitte eine E-Mail-Adresse mit Bezug auf eine echte Person wie zum Beispiel max.mustermann@ oder max1985@."
"Ich erhalte keinen Newsletter, obwohl ich mich angemeldet habe. Woran liegt das?","Nach der Anmeldung für unseren Newsletter erhalten Sie eine Bestätigungsmail. Sie müssen den Link in dieser Mail anklicken, um die Anmeldung abzuschließen. Sehen Sie auch im Spam-Ordner nach, falls Sie die Mail nicht innerhalb einer Stunde bekommen. Bestätigen Sie die Anmeldung nicht, werden Ihre Daten nach sieben Tagen automatisch aus unserem System gelöscht. Sie können sich dann wieder mit der selben E-Mail-Adresse anmelden ."
"Ich kann nicht am Gewinnspiel teilnehmen, da die Seite nicht vollständig geladen wird. Was kann ich tun?","Wird ein Gewinnspiel nicht vollständig geladen, sollten Sie Ihren Browser-Cache, Ihre Cookies und die temporären Dateien löschen. Klicken Sie im geöffneten Browser auf die Schaltfläche „Extras“. Bei Mozilla Firefox können Sie anschließend die neueste Chronik löschen. Beim Internet Explorer gelangen Sie ebenfalls über Extras zu den Internetoptionen. Dort haben Sie je nach Version die Möglichkeit, bei den temporären Internetdateien oder beim Browserverlauf Ihre Cookies und Dateien zu löschen. Anschließend müssen Sie unbedingt alle geöffneten Browserfenster schließen, um das Löschen abzuschließen."
"Wo kann ich sehen, ob ich bei einem Gewinnspiel gewonnen habe?","Unter den Navigationspunkt Aktionen finden Sie auf der Seite Gewinnspiele die Gewinner unserer letzten Gewinnspiele. Wählen Sie das Gewinnspiel aus, an dem Sie teilgenommen haben und überprüfen Sie, ob Sie zu den glücklichen Gewinnern gehören."
Was sind Kaufland FamilienMomente?,"Von der Schwangerschaft bis zum siebten Lebenjahr – unsere FamilienMomente begleiten Sie und Ihre Familie in jeder dieser Phasen. Entdecken Sie unsere hilfreichen Infos rund um die Schwangerschaft, Tipps und Tricks für die Entwicklung Ihres Kindes, Rezepte für Groß und Klein sowie vieles mehr."
Wer kann sich für FamilienMomente registrieren?,Wir begleiten alle werdenden Eltern in der europäischen Wirtschaftsgemeinschaft ab der achten Schwangerschaftswoche bis zum Ende des sechsten Lebensjahres Ihres Sonnenscheins mit unseren FamilienMomenten. Zur Registrierung wird ein Kaufland Kundenkonto benötigt. Voraussetzung für unsere Geschenke zur Geburt und den ersten Geburtstagen ist zudem ein Wohnsitz in der Bundesrepublik Deutschland.
Wie registriere ich mich für FamilienMomente?,"Die Registrierung für FamilienMomente erfolgt  ausschließlich über unsere App. Laden Sie sich die FamilienMomente-App einfach herunter, klicken Sie auf „Registrieren“ und folgen Sie der Anleitung. Um das Anmeldeformular ausfüllen zu können, müssen Sie sich zuvor mit Ihrem Kaufland Kundenkonto anmelden. Sie haben noch kein Kaufland Kundenkonto? Registrieren Sie sich hier oder direkt in der App."
Welche Vorteile habe ich als Mitglied von FamilienMomente?,"Als Mitglied von FamilienMomente erhalten Sie exklusiv unseren FamilienMomente-Newsletter mit interessanten Infos, Rezepten und Inspirationen rund um Mama, Papa und Kind. Außerdem erwarten Sie regelmäßig exklusive Coupons und Rabatte, unsere Gratis-Willkommens-Box für Ihren kleinen Sonnenschein sowie gratis Geburtstags-Boxen oder exklusive Coupons zum ersten bis sechsten Geburtstag."
Wann erhalte ich eine Gratis-Willkommens-Box?,"Füllen Sie zunächst Ihr Profil in der App vollständig aus. Wir benötigen Ihre persönlichen Daten, um Ihnen die Box zusenden zu können. Während der Schwangerschaft: Sobald Sie nach der Geburt das endgültige Geburtsdatum Ihres Kindes in der App aktualisiert haben, wird die Box verschickt. Wir senden Ihnen hierfür rechtzeitig eine Erinnerungsmail zu. Bereits Eltern? Herzlichen Glückwunsch! Wenn Ihr Baby bei der Anmeldung maximal drei Monate alt ist, schicken wir die Box direkt nach der vollständigen Registrierung los. Voraussetzung für den Versand: Ein Wohnsitz in Deutschland, die vollständige Anmeldung in der App sowie die Bestätigung Ihrer Daten, sobald Sie dazu aufgefordert werden."
